row,row_name,method,method_name,final_step,final_Jsys,final_ATT,final_completion,best_step,best_Jsys,late_Jsys_mean,late_Jsys_std,late_ATT_mean,late_completion_mean
E0,SINGLE_PAX_LEGACY,M0,RESIDUAL,800000,385.90333333333336,178.0612244897959,0.16333333333333333,450000,294.26,381.01200000000006,6.289071862277357,171.33370572366877,0.17333333333333334
E0,SINGLE_PAX_LEGACY,M1,SHARED,800000,327.85333333333335,115.125,0.37333333333333335,700000,323.54333333333335,329.69933333333336,4.69138946487189,118.18983610931718,0.3813333333333333
E0,SINGLE_PAX_LEGACY,M2,SHARED_UQ,800000,369.6133333333334,136.85507246376812,0.23,750000,362.49,372.47,6.520280498397089,141.0343205912544,0.22933333333333333
E0,SINGLE_PAX_LEGACY,M3,SHARED_AC,800000,328.9,111.37,0.3333333333333333,300000,294.41,315.29200000000003,8.268548871745537,109.85249662487323,0.3713333333333333
E0,SINGLE_PAX_LEGACY,M4,SHARED_UQ_AC,800000,368.05,142.36923076923077,0.21666666666666667,150000,296.37,354.98266666666666,8.447276063257847,130.5081494355776,0.24800000000000005
E1,FIXED_FLEET_LQ,M0,RESIDUAL,800000,62.78333333333333,62.78333333333333,1.0,800000,62.78333333333333,65.52533333333334,2.344481558421345,65.52533333333334,1.0
E1,FIXED_FLEET_LQ,M1,SHARED,800000,81.06666666666666,81.06666666666666,1.0,700000,79.20666666666666,83.55733333333333,3.678457043683152,83.55733333333333,1.0
E1,FIXED_FLEET_LQ,M2,SHARED_UQ,800000,84.09666666666666,84.09666666666666,1.0,50000,83.8,88.80533333333332,3.5267855052441126,88.80533333333332,1.0
E1,FIXED_FLEET_LQ,M3,SHARED_AC,800000,90.40666666666668,90.40666666666668,1.0,350000,89.83333333333333,92.36,1.3243044295864195,92.36,1.0
E1,FIXED_FLEET_LQ,M4,SHARED_UQ_AC,800000,194.81000000000003,185.71942446043167,0.9266666666666666,200000,95.63,182.1706666666667,14.004067885201554,177.39865886928288,0.9613333333333334
E2,TURNAROUND_LQ,M0,RESIDUAL,800000,89.85333333333334,89.85333333333334,1.0,800000,89.85333333333334,92.67933333333335,1.9108478630062535,92.67933333333335,1.0
E2,TURNAROUND_LQ,M1,SHARED,800000,85.71,85.71,1.0,550000,84.97333333333333,87.43533333333333,1.4720335141112377,87.43533333333333,1.0
E2,TURNAROUND_LQ,M2,SHARED_UQ,800000,197.50333333333333,197.15384615384616,0.9966666666666667,600000,97.34666666666665,158.23533333333333,37.825532446865694,158.01846498020996,0.998
E2,TURNAROUND_LQ,M3,SHARED_AC,800000,93.96666666666665,93.96666666666665,1.0,700000,89.52,91.93666666666665,1.8068388601827952,91.93666666666665,1.0
